mesh,type,description,blacklist
1,undefined,none,0
2,undefined,none,0
3,defect,none,1
4,undefined,none,0
5,defect,none,1
6,defect,none,1
7,defect,none,1
8,defect,none,1
9,defect,none,1
10,undefined,none,0
11,defect,none,1
12,defect,none,1
13,defect,none,1
14,defect,none,1
15,defect,none,1
16,defect,none,1
17,defect,none,1
18,defect,none,1
19,undefined,none,0
20,undefined,none,0
21,defect,none,1
22,defect,none,1
23,defect,none,1
24,defect,none,1
25,defect,none,1
26,defect,none,1
27,defect,none,1
28,defect,none,1
29,defect,none,1
30,defect,none,1
31,undefined,none,0
32,undefined,none,0
33,undefined,iris selector,0
34,undefined,iris shroud,0
35,undefined,none,0
36,undefined,none,0
37,defect,none,1
38,defect,none,1
39,defect,none,1
40,defect,none,1
41,defect,none,1
42,defect,none,1
43,defect,none,1
44,defect,none,1
45,undefined,none,0
46,defect,none,1
47,defect,none,1
48,undefined,none,0
49,undefined,none,0
50,defect,none,1
51,defect,none,1
52,defect,none,1
53,defect,none,1
54,defect,none,1
55,defect,none,1
56,undefined,none,0
57,undefined,none,0
58,undefined,none,0
59,undefined,none,0
60,undefined,none,0
61,defect,none,1
62,defect,none,1
63,defect,none,1
64,defect,none,1
65,defect,none,1
66,defect,none,1
67,undefined,none,0
68,undefined,none,0
69,undefined,none,0
70,defect,none,1
71,defect,none,1
72,defect,none,1
73,defect,none,1
74,defect,none,1
75,defect,none,1
76,undefined,none,0
77,undefined,none,0
78,defect,none,1
79,defect,none,1
80,defect,none,1
81,undefined,none,0
82,undefined,none,0
83,defect,none,1
84,defect,none,1
85,defect,none,1
86,defect,none,1
87,defect,none,1
88,defect,none,1
89,defect,none,1
90,defect,none,1
91,defect,none,1
92,defect,none,1
93,defect,none,1
94,defect,none,1
95,undefined,none,0
96,undefined,none,0
97,undefined,none,0
98,defect,none,1
99,defect,none,1
100,misc,none,1
101,misc,none,1
102,misc,none,1
103,misc,none,1
104,undefined,none,0
105,undefined,none,0
106,undefined,none,0
107,undefined,none,0
108,undefined,none,0
109,misc,none,1
110,misc,none,1
111,misc,none,1
112,undefined,none,0
113,misc,none,1
114,misc,none,1
115,misc,none,1
116,undefined,none,0
117,undefined,none,0
118,undefined,none,0
119,undefined,none,0
120,undefined,none,0
121,undefined,none,0
122,undefined,none,0
123,undefined,none,0
124,undefined,none,0
125,undefined,none,0
126,undefined,none,0
127,undefined,none,0
128,undefined,none,0
129,undefined,none,0
130,undefined,none,0
131,undefined,none,0
132,undefined,none,0
133,undefined,none,0
134,undefined,none,0
135,undefined,none,0
136,undefined,none,0
137,undefined,none,0
138,undefined,none,0
139,undefined,none,0
140,undefined,none,0
141,mirror_closed,none,1
142,mirror_open,none,0
143,undefined,none,0
144,undefined,none,0
145,misc,none,1
146,misc,none,1
147,misc,none,1
148,undefined,none,0
149,undefined,none,0
150,iris,iris body,0
151,undefined,none,0
152,sipm lower 1,lower sipm plate,1
153,undefined,none,0
154,undefined,none,0
155,undefined,none,0
156,undefined,none,0
157,undefined,none,0
158,undefined,none,0
159,undefined,none,0
160,undefined,none,0
161,slit body,slit body,0
162,undefined,none,0
163,undefined,none,0
164,undefined,none,0
165,misc,none,1
166,misc,none,1
167,misc,none,1
168,undefined,none,0
169,undefined,none,0
170,undefined,none,0
171,undefined,none,0
172,undefined,none,0
173,undefined,none,0
174,undefined,none,0
175,undefined,none,0
176,undefined,none,0
177,undefined,none,0
178,undefined,none,0
179,undefined,none,0
180,undefined,none,0
181,misc,none,1
182,misc,none,1
183,sipm lower 1,lower sipm plate,1
184,misc,none,1
185,pipe collar,pipe collar,1
186,misc,none,1
187,undefined,none,0
188,sipm plate,sipm plate,1
189,sipm upper,top plate for sipm,1
190,undefined,none,0
191,undefined,none,0
192,undefined,none,0
193,undefined,none,0
194,undefined,none,0
195,undefined,none,0
196,undefined,none,0
197,undefined,none,0
198,undefined,none,0
199,undefined,none,0
200,undefined,none,0
201,undefined,none,0
202,undefined,none,0
203,undefined,none,0
204,undefined,none,0
205,laser slit,horizontal laser slit,1
206,slit body,slit body,0
207,undefined,none,0
208,undefined,none,0
209,undefined,none,0
210,undefined,none,0
211,undefined,none,0
212,undefined,none,0
213,undefined,none,0
214,defect,none,1
215,misc,none,1
216,misc,none,1
217,misc,none,1
218,undefined,none,0
219,undefined,none,0
220,undefined,none,0
221,mcm mirror,mcm mirror,1
222,undefined,none,0
223,undefined,none,0
224,undefined,none,0
225,undefined,none,0
226,undefined,none,0
227,undefined,none,0
228,undefined,none,0
229,undefined,none,0
230,misc,none,1
231,undefined,none,0
232,misc,none,1
233,undefined,none,0
234,misc,none,1
235,misc,none,1
236,undefined,none,0
237,upper barrel,upper barrel,0
238,undefined,none,0
239,undefined,none,0
240,undefined,none,0
241,undefined,none,0
242,undefined,none,0
243,undefined,monochromator body,0
244,undefined,none,0
245,undefined,none,0
246,body barrel,body barrel,0
247,undefined,none,0
248,undefined,none,0
249,undefined,none,0
250,high res mirror,high res mirror,1
